implementation,ticket_id,scenario,run_index,schema_success,category_actual,category_expected,category_match,urgency_actual,urgency_expected,urgency_match,team_actual,team_expected,team_match,needs_human_review_actual,needs_human_review_expected,needs_human_review_match,all_expected_labels_match,end_to_end_success
baml,T001,clean_product_bug,1,1,bug,bug,1,medium,medium,1,engineering,engineering,1,false,false,1,1,1
baml,T001,clean_product_bug,2,1,bug,bug,1,high,medium,0,engineering,engineering,1,false,false,1,0,0
baml,T001,clean_product_bug,3,1,bug,bug,1,high,medium,0,engineering,engineering,1,false,false,1,0,0
baml,T001,clean_product_bug,4,1,billing,bug,0,high,medium,0,engineering,engineering,1,true,false,0,0,0
baml,T001,clean_product_bug,5,1,bug,bug,1,high,medium,0,engineering,engineering,1,false,false,1,0,0
baml,T002,enterprise_outage_renewal_pressure,1,1,integration_failure,outage,0,high,critical,0,engineering,engineering,1,true,true,1,0,0
baml,T002,enterprise_outage_renewal_pressure,2,1,integration_failure,outage,0,high,critical,0,engineering,engineering,1,true,true,1,0,0
baml,T002,enterprise_outage_renewal_pressure,3,1,integration_failure,outage,0,high,critical,0,engineering,engineering,1,true,true,1,0,0
baml,T002,enterprise_outage_renewal_pressure,4,1,integration_failure,outage,0,high,critical,0,engineering,engineering,1,true,true,1,0,0
baml,T002,enterprise_outage_renewal_pressure,5,1,integration_failure,outage,0,high,critical,0,engineering,engineering,1,true,true,1,0,0
baml,T003,vague_complaint_missing_info,1,1,unclear,unclear,1,high,medium,0,engineering,support,0,true,true,1,0,0
baml,T003,vague_complaint_missing_info,2,1,bug,unclear,0,high,medium,0,engineering,support,0,true,true,1,0,0
baml,T003,vague_complaint_missing_info,3,1,unclear,unclear,1,high,medium,0,engineering,support,0,true,true,1,0,0
baml,T003,vague_complaint_missing_info,4,1,unclear,unclear,1,medium,medium,1,engineering,support,0,true,true,1,0,0
baml,T003,vague_complaint_missing_info,5,1,unclear,unclear,1,high,medium,0,engineering,support,0,true,true,1,0,0
baml,T004,billing_dispute,1,1,billing,billing,1,medium,high,0,billing,billing,1,true,true,1,0,0
baml,T004,billing_dispute,2,1,billing,billing,1,medium,high,0,billing,billing,1,true,true,1,0,0
baml,T004,billing_dispute,3,1,billing,billing,1,medium,high,0,billing,billing,1,true,true,1,0,0
baml,T004,billing_dispute,4,1,billing,billing,1,medium,high,0,billing,billing,1,true,true,1,0,0
baml,T004,billing_dispute,5,1,billing,billing,1,medium,high,0,billing,billing,1,true,true,1,0,0
baml,T005,security_report,1,1,security,security,1,medium,critical,0,security,security,1,true,true,1,0,0
baml,T005,security_report,2,1,security,security,1,medium,critical,0,security,security,1,true,true,1,0,0
baml,T005,security_report,3,1,security,security,1,medium,critical,0,security,security,1,true,true,1,0,0
baml,T005,security_report,4,1,security,security,1,medium,critical,0,security,security,1,true,true,1,0,0
baml,T005,security_report,5,1,security,security,1,medium,critical,0,security,security,1,true,true,1,0,0
baml,T006,feature_request,1,1,feature_request,feature_request,1,low,low,1,support,customer_success,0,false,false,1,0,0
baml,T006,feature_request,2,1,feature_request,feature_request,1,low,low,1,support,customer_success,0,false,false,1,0,0
baml,T006,feature_request,3,1,feature_request,feature_request,1,low,low,1,support,customer_success,0,false,false,1,0,0
baml,T006,feature_request,4,1,feature_request,feature_request,1,low,low,1,support,customer_success,0,false,false,1,0,0
baml,T006,feature_request,5,1,feature_request,feature_request,1,low,low,1,support,customer_success,0,false,false,1,0,0
baml,T007,data_loss_concern,1,1,data_loss,data_loss,1,high,critical,0,engineering,engineering,1,true,true,1,0,0
baml,T007,data_loss_concern,2,1,data_loss,data_loss,1,high,critical,0,engineering,engineering,1,true,true,1,0,0
